image_path,blazer_color,tie_color,shoe_color,shirt_color,pant_color
./image_dataset\men_wearing_beige_blazer_with_purple_tie\000003.jpg,beige,purple tie,,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie\000004.jpg,beige,purple tie,,black,white
./image_dataset\men_wearing_beige_blazer_with_purple_tie\000005.jpg,beige,purple tie,,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_beige_shoes\000001.jpg,beige,purple tie,beige shoes,beige,white
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_beige_shoes\000002.jpg,beige,purple tie,beige shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_beige_shoes\000003.jpg,beige,purple tie,beige shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_beige_shoes\000004.jpg,beige,purple tie,beige shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_beige_shoes\000005.jpg,beige,purple tie,beige shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_black_shoes\000001.jpg,beige,purple tie,black shoes,baby pink,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_black_shoes\000002.jpg,beige,purple tie,black shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_black_shoes\000003.jpg,beige,purple tie,black shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_black_shoes\000004.jpg,beige,purple tie,black shoes,baby pink,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_black_shoes\000005.jpg,beige,purple tie,black shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_brown_shoes\000001.jpg,beige,purple tie,brown shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_brown_shoes\000002.jpg,beige,purple tie,brown shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_brown_shoes\000003.jpg,beige,purple tie,brown shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_brown_shoes\000004.jpg,beige,purple tie,brown shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_brown_shoes\000005.jpg,beige,purple tie,brown shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_grey_shoes\000001.jpg,beige,purple tie,grey shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_grey_shoes\000002.jpg,beige,purple tie,grey shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_grey_shoes\000003.jpg,beige,purple tie,grey shoes,baby pink,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_grey_shoes\000004.jpg,beige,purple tie,grey shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_grey_shoes\000005.jpg,beige,purple tie,grey shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_white_shoes\000001.jpg,beige,purple tie,white shoes,beige,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_white_shoes\000002.jpg,beige,purple tie,white shoes,white,brown
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_white_shoes\000003.jpg,beige,purple tie,white shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_white_shoes\000004.jpg,beige,purple tie,white shoes,white,Blue
./image_dataset\men_wearing_beige_blazer_with_purple_tie_and_white_shoes\000005.jpg,beige,purple tie,white shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_red_tie\000001.jpg,beige,red tie,,black,black
./image_dataset\men_wearing_beige_blazer_with_red_tie\000002.jpg,beige,red tie,,beige,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie\000003.jpg,beige,red tie,,white,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie\000004.jpg,beige,red tie,,black,white
./image_dataset\men_wearing_beige_blazer_with_red_tie\000005.jpg,beige,red tie,,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_beige_shoes\000001.jpg,beige,red tie,beige shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_beige_shoes\000002.jpg,beige,red tie,beige shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_beige_shoes\000003.jpg,beige,red tie,beige shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_beige_shoes\000004.jpg,beige,red tie,beige shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_beige_shoes\000005.jpg,beige,red tie,beige shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_black_shoes\000001.jpg,beige,red tie,black shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_black_shoes\000002.jpg,beige,red tie,black shoes,pale brown,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_black_shoes\000003.jpg,beige,red tie,black shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_black_shoes\000004.jpg,beige,red tie,black shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_black_shoes\000005.jpg,beige,red tie,black shoes,beige,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_brown_shoes\000001.jpg,beige,red tie,brown shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_brown_shoes\000002.jpg,beige,red tie,brown shoes,black,Blue
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_brown_shoes\000003.jpg,beige,red tie,brown shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_brown_shoes\000004.jpg,beige,red tie,brown shoes,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_brown_shoes\000005.jpg,beige,red tie,brown shoes,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_grey_shoes\000001.jpg,beige,red tie,grey shoes,beige,brown
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_grey_shoes\000002.jpg,beige,red tie,grey shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_grey_shoes\000003.jpg,beige,red tie,grey shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_grey_shoes\000004.jpg,beige,red tie,grey shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_grey_shoes\000005.jpg,beige,red tie,grey shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_white_shoes\000001.jpg,beige,red tie,white shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_white_shoes\000002.jpg,beige,red tie,white shoes,beige,black
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_white_shoes\000003.jpg,beige,red tie,white shoes,black,baby pink
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_white_shoes\000004.jpg,beige,red tie,white shoes,black,white
./image_dataset\men_wearing_beige_blazer_with_red_tie_and_white_shoes\000005.jpg,beige,red tie,white shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_tie\000001.jpg,beige,tie,,black,brown
./image_dataset\men_wearing_beige_blazer_with_tie\000002.jpg,beige,tie,,white,black
./image_dataset\men_wearing_beige_blazer_with_tie\000003.jpg,beige,tie,,white,brown
./image_dataset\men_wearing_beige_blazer_with_tie\000004.jpg,beige,tie,,white,white
./image_dataset\men_wearing_beige_blazer_with_tie\000005.jpg,beige,tie,,black,Blue
./image_dataset\men_wearing_beige_blazer_with_white_shoes\000001.jpg,beige,,white shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_white_shoes\000002.jpg,beige,,white shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_white_shoes\000003.jpg,beige,,white shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_white_shoes\000004.jpg,beige,,white shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_white_shoes\000005.jpg,beige,,white shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_yellow_tie\000001.jpg,beige,yellow tie,,white,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie\000002.jpg,beige,yellow tie,,black,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie\000003.jpg,beige,yellow tie,,black,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie\000004.jpg,beige,yellow tie,,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie\000005.jpg,beige,yellow tie,,black,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_beige_shoes\000001.png,beige,yellow tie,beige shoes,baby pink,Blue
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_beige_shoes\000002.jpg,beige,yellow tie,beige shoes,beige,baby pink
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_beige_shoes\000003.jpg,beige,yellow tie,beige shoes,baby pink,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_beige_shoes\000004.jpg,beige,yellow tie,beige shoes,white,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_beige_shoes\000005.jpg,beige,yellow tie,beige shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_black_shoes\000001.png,beige,yellow tie,black shoes,pale brown,Blue
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_black_shoes\000002.jpg,beige,yellow tie,black shoes,white,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_black_shoes\000003.jpg,beige,yellow tie,black shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_black_shoes\000004.jpg,beige,yellow tie,black shoes,baby pink,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_black_shoes\000005.jpg,beige,yellow tie,black shoes,beige,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_brown_shoes\000001.jpg,beige,yellow tie,brown shoes,pale brown,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_brown_shoes\000002.jpg,beige,yellow tie,brown shoes,beige,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_brown_shoes\000003.jpg,beige,yellow tie,brown shoes,white,baby pink
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_brown_shoes\000004.jpg,beige,yellow tie,brown shoes,beige,white
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_brown_shoes\000005.jpg,beige,yellow tie,brown shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_grey_shoes\000001.jpg,beige,yellow tie,grey shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_grey_shoes\000002.jpg,beige,yellow tie,grey shoes,black,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_grey_shoes\000003.jpg,beige,yellow tie,grey shoes,white,baby pink
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_grey_shoes\000004.jpg,beige,yellow tie,grey shoes,pale brown,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_grey_shoes\000005.jpg,beige,yellow tie,grey shoes,pale brown,black
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_white_shoes\000001.jpg,beige,yellow tie,white shoes,beige,Blue
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_white_shoes\000002.jpg,beige,yellow tie,white shoes,baby pink,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_white_shoes\000003.jpg,beige,yellow tie,white shoes,black,brown
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_white_shoes\000004.jpg,beige,yellow tie,white shoes,baby pink,baby pink
./image_dataset\men_wearing_beige_blazer_with_yellow_tie_and_white_shoes\000005.jpg,beige,yellow tie,white shoes,white,black
./image_dataset\men_wearing_black_blazer_with_beige_shoes\000001.jpg,black,,beige shoes,pale brown,brown
./image_dataset\men_wearing_black_blazer_with_beige_shoes\000002.jpg,black,,beige shoes,beige,black
./image_dataset\men_wearing_black_blazer_with_beige_shoes\000003.jpg,black,,beige shoes,pale brown,Blue
./image_dataset\men_wearing_black_blazer_with_beige_shoes\000004.jpg,black,,beige shoes,baby pink,baby pink
./image_dataset\men_wearing_black_blazer_with_beige_shoes\000005.jpg,black,,beige shoes,baby pink,Blue
./image_dataset\men_wearing_black_blazer_with_black_shoes\000001.jpg,black,,black shoes,black,baby pink
./image_dataset\men_wearing_black_blazer_with_black_shoes\000002.jpg,black,,black shoes,black,brown
./image_dataset\men_wearing_black_blazer_with_black_shoes\000003.jpg,black,,black shoes,beige,baby pink
./image_dataset\men_wearing_black_blazer_with_black_shoes\000004.jpg,black,,black shoes,black,white
./image_dataset\men_wearing_black_blazer_with_black_shoes\000005.jpg,black,,black shoes,baby pink,black
./image_dataset\men_wearing_black_blazer_with_blue_tie\000001.jpg,black,blue tie,,baby pink,black
./image_dataset\men_wearing_black_blazer_with_blue_tie\000002.jpg,black,blue tie,,white,white
./image_dataset\men_wearing_black_blazer_with_blue_tie\000003.jpg,black,blue tie,,baby pink,Blue
./image_dataset\men_wearing_black_blazer_with_blue_tie\000004.jpg,black,blue tie,,beige,white
./image_dataset\men_wearing_black_blazer_with_blue_tie\000005.jpg,black,blue tie,,black,brown
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_black_shoes\000001.jpg,black,blue tie,black shoes,white,brown
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_black_shoes\000002.jpg,black,blue tie,black shoes,white,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_black_shoes\000003.jpg,black,blue tie,black shoes,beige,brown
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_black_shoes\000004.jpg,black,blue tie,black shoes,beige,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_black_shoes\000005.jpg,black,blue tie,black shoes,black,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_brown_shoes\000001.jpg,black,blue tie,brown shoes,white,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_brown_shoes\000002.jpg,black,blue tie,brown shoes,black,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_brown_shoes\000003.jpg,black,blue tie,brown shoes,baby pink,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_brown_shoes\000004.jpg,black,blue tie,brown shoes,white,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_brown_shoes\000005.jpg,black,blue tie,brown shoes,white,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_grey_shoes\000001.jpg,black,blue tie,grey shoes,pale brown,Blue
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_grey_shoes\000002.jpg,black,blue tie,grey shoes,black,white
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_grey_shoes\000003.jpg,black,blue tie,grey shoes,white,brown
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_grey_shoes\000004.jpg,black,blue tie,grey shoes,baby pink,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_grey_shoes\000005.jpg,black,blue tie,grey shoes,black,Blue
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_white_shoes\000001.jpg,black,blue tie,white shoes,black,baby pink
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_white_shoes\000002.jpg,black,blue tie,white shoes,pale brown,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_white_shoes\000003.jpg,black,blue tie,white shoes,black,brown
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_white_shoes\000004.jpg,black,blue tie,white shoes,baby pink,black
./image_dataset\men_wearing_black_blazer_with_blue_tie_and_white_shoes\000005.jpg,black,blue tie,white shoes,black,brown
./image_dataset\men_wearing_black_blazer_with_brown_shoes\000001.jpg,black,,brown shoes,beige,brown
./image_dataset\men_wearing_black_blazer_with_brown_shoes\000002.jpg,black,,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_black_blazer_with_brown_shoes\000003.jpg,black,,brown shoes,baby pink,black
./image_dataset\men_wearing_black_blazer_with_brown_shoes\000004.jpg,black,,brown shoes,black,baby pink
./image_dataset\men_wearing_black_blazer_with_brown_shoes\000005.jpg,black,,brown shoes,black,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie\000001.jpg,black,green tie,,baby pink,black
./image_dataset\men_wearing_black_blazer_with_green_tie\000002.jpg,black,green tie,,pale brown,white
./image_dataset\men_wearing_black_blazer_with_green_tie\000003.jpg,black,green tie,,pale brown,white
./image_dataset\men_wearing_black_blazer_with_green_tie\000004.jpg,black,green tie,,black,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie\000005.jpg,black,green tie,,pale brown,Blue
./image_dataset\men_wearing_black_blazer_with_green_tie_and_beige_shoes\000001.jpg,black,green tie,beige shoes,beige,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie_and_beige_shoes\000002.jpg,black,green tie,beige shoes,black,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie_and_beige_shoes\000003.jpg,black,green tie,beige shoes,pale brown,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie_and_beige_shoes\000004.jpg,black,green tie,beige shoes,pale brown,white
./image_dataset\men_wearing_black_blazer_with_green_tie_and_beige_shoes\000005.jpg,black,green tie,beige shoes,beige,white
./image_dataset\men_wearing_black_blazer_with_green_tie_and_brown_shoes\000001.jpg,black,green tie,brown shoes,black,white
./image_dataset\men_wearing_black_blazer_with_green_tie_and_brown_shoes\000002.jpg,black,green tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_black_blazer_with_green_tie_and_brown_shoes\000003.jpg,black,green tie,brown shoes,black,Blue
./image_dataset\men_wearing_black_blazer_with_green_tie_and_brown_shoes\000004.png,black,green tie,brown shoes,white,white
./image_dataset\men_wearing_black_blazer_with_green_tie_and_brown_shoes\000005.jpg,black,green tie,brown shoes,black,black
./image_dataset\men_wearing_black_blazer_with_green_tie_and_grey_shoes\000001.jpg,black,green tie,grey shoes,black,black
./image_dataset\men_wearing_black_blazer_with_green_tie_and_grey_shoes\000002.jpg,black,green tie,grey shoes,white,black
./image_dataset\men_wearing_black_blazer_with_green_tie_and_grey_shoes\000003.jpg,black,green tie,grey shoes,beige,brown
./image_dataset\men_wearing_black_blazer_with_green_tie_and_grey_shoes\000004.jpg,black,green tie,grey shoes,white,baby pink
